AERI,"Aerie Pharmaceuticals, Inc.",40.5,1362215111,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AETI,"American Electric Technologies, Inc.",1.6038,13614286.12,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AEY,"ADDvantage Technologies Group, Inc.",1.6826,17149469.75,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
AEZS,AEterna Zentaris Inc.,0.89,12756956.51,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AFAM,Almost Family Inc,56.75,791068781.5,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
AFH,"Atlas Financial Holdings, Inc.",14.95,179859009.9,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afh
AFHBL,"Atlas Financial Holdings, Inc.",25.5,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afhbl
AFMD,Affimed N.V.,2.4,105452104.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AFSI,"AmTrust Financial Services, Inc.",12.35,2114777592,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AGEN,Agenus Inc.,3.56,352863323.2,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGFS,"AgroFresh Solutions, Inc.",7.09,356491056.3,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.7724,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
AGII,"Argo Group International Holdings, Ltd.",62.3,1880837374,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii
AGIIL,"Argo Group International Holdings, Ltd.",25.72,0,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agiil
AGIO,"Agios Pharmaceuticals, Inc.",47.24,2277198437,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGLE,"Aeglea BioTherapeutics, Inc.",4.75,63898235,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AGNC,AGNC Investment Corp.,20.57,6809617804,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26.33,9122030685,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCP,AGNC Investment Corp.,25.71,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,43.626,17450400,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agnd
AGRX,"Agile Therapeutics, Inc.",3.48,100246265,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGTC,Applied Genetic Technologies Corporation,5.35,96747062.05,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
AGYS,"Agilysys, Inc.",9.52,221136843.2,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,47.8879,23943950,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agzd
